N;K;peaks;maxValue;minValue
22;21;182332;0.838314;0.222659
22;21;182373;0.792451;0.192788
22;21;182737;0.799795;0.20992
22;21;181018;0.810633;0.207998
22;21;184101;0.801854;0.216123
22;21;184486;0.817315;0.188926
22;21;184973;0.792875;0.210153
22;21;180957;0.784211;0.208102
22;21;180783;0.79481;0.202407
22;21;181196;0.806439;0.214425
22;21;182150;0.801476;0.196633
22;21;182879;0.799632;0.18535
22;21;181821;0.829595;0.208774
22;21;184085;0.804373;0.205142
22;21;182665;0.786985;0.189044
22;21;182298;0.801066;0.216474
22;21;183430;0.792167;0.20125
22;21;181611;0.796843;0.174426
22;21;181735;0.795169;0.169116
22;21;180970;0.80046;0.192021
22;21;182449;0.848341;0.215038
22;21;181959;0.78912;0.214858
22;21;181168;0.803102;0.199611
22;21;182119;0.80249;0.204944
22;21;182198;0.795323;0.217635
22;21;182306;0.799174;0.174315
22;21;182084;0.807679;0.201449
22;21;182438;0.788205;0.179308
22;21;182649;0.811894;0.196833
22;21;180399;0.805353;0.205997
22;21;182300;0.818503;0.19593
22;21;181126;0.800583;0.216933
22;21;184916;0.787003;0.209203
22;21;180522;0.803348;0.194767
22;21;181593;0.804749;0.188425
22;21;184269;0.792903;0.200826
22;21;183026;0.792355;0.18804
22;21;183021;0.798982;0.221539
22;21;182215;0.781503;0.190972
22;21;183268;0.793034;0.208309
22;21;182521;0.793539;0.203527
22;21;180911;0.796496;0.195052
22;21;183367;0.790578;0.199558
22;21;181839;0.793727;0.189115
22;21;182216;0.792954;0.196809
22;21;181555;0.816112;0.206248
22;21;182634;0.804908;0.207849
22;21;182575;0.7845;0.195698
22;21;184726;0.788693;0.195226
22;21;181768;0.81134;0.200383
22;21;180959;0.81284;0.206453
22;21;181123;0.80115;0.210882
22;21;181523;0.794206;0.196822
22;21;181795;0.802672;0.200533
22;21;182720;0.80148;0.192937
22;21;181812;0.781572;0.184556
22;21;181508;0.787404;0.211686
22;21;180985;0.796217;0.207404
22;21;181123;0.811172;0.207088
22;21;181804;0.799749;0.21701
22;21;180988;0.789182;0.218111
22;21;180471;0.799006;0.215764
22;21;182220;0.799786;0.202651
22;21;183043;0.797278;0.21044
22;21;181984;0.784313;0.202804
22;21;180818;0.797992;0.209662
22;21;183069;0.805993;0.192098
22;21;182427;0.786564;0.216048
22;21;182383;0.787357;0.204377
22;21;182754;0.786582;0.20651
22;21;182328;0.793866;0.201256
22;21;181119;0.802066;0.185726
22;21;184254;0.816503;0.195439
22;21;182369;0.804931;0.162405
22;21;181799;0.793753;0.212993
22;21;183074;0.811275;0.195455
22;21;182148;0.79769;0.193708
22;21;181840;0.787434;0.21324
22;21;182468;0.789856;0.177891
22;21;182060;0.802201;0.198359
22;21;182471;0.794284;0.177201
22;21;182176;0.786485;0.194851
22;21;185859;0.803415;0.210033
22;21;183879;0.805711;0.207229
22;21;183296;0.794012;0.199405
22;21;182536;0.784367;0.216859
22;21;184187;0.80502;0.202199
22;21;181806;0.805559;0.201109
22;21;182272;0.785817;0.175293
22;21;184934;0.802835;0.186782
22;21;185420;0.793954;0.204826
22;21;182088;0.826212;0.198417
22;21;182558;0.796222;0.200508
22;21;182952;0.796305;0.199842
22;21;181851;0.782718;0.193867
22;21;181822;0.784839;0.211987
22;21;181969;0.820152;0.197074
22;21;181937;0.784504;0.197834
22;21;182486;0.782638;0.188325
22;21;183009;0.793045;0.197667
22;21;182783;0.789342;0.217716
22;21;181196;0.786563;0.221883
22;21;182839;0.804539;0.210737
22;21;183959;0.814917;0.21533
22;21;182645;0.806841;0.208495
22;21;182262;0.797755;0.203841
22;21;182889;0.780536;0.199389
22;21;183429;0.777901;0.208729
22;21;184801;0.815255;0.185357
22;21;182611;0.810415;0.217741
22;21;183146;0.798896;0.214119
22;21;184344;0.79759;0.213626
22;21;183381;0.788108;0.214632
22;21;182859;0.805373;0.207161
22;21;182827;0.804969;0.198157
22;21;184024;0.795004;0.21769
22;21;182558;0.787368;0.205535
22;21;181992;0.814414;0.182618
22;21;181502;0.800271;0.21641
22;21;182662;0.792027;0.198563
22;21;181155;0.793369;0.204998
22;21;183917;0.788256;0.21475
22;21;181306;0.805841;0.21344
22;21;181541;0.789215;0.188956
22;21;184288;0.791543;0.215329
22;21;182872;0.818681;0.182189
22;21;180455;0.791337;0.185499
22;21;181749;0.782015;0.207802
22;21;182165;0.795249;0.214409
22;21;181405;0.794961;0.213039
22;21;185688;0.786437;0.209989
22;21;182755;0.807801;0.214953
22;21;181553;0.791045;0.173154
22;21;182580;0.791761;0.193207
22;21;183461;0.782929;0.1969
22;21;182709;0.796876;0.21694
22;21;180083;0.793477;0.220059
22;21;181814;0.793922;0.20131
22;21;184854;0.798103;0.207708
22;21;180637;0.809085;0.207694
22;21;180494;0.80002;0.205665
22;21;182918;0.801816;0.211508
22;21;180800;0.796533;0.202809
