N;K;peaks;maxValue;minValue
22;19;135074;0.800945;0.205913
22;19;133462;0.787283;0.190337
22;19;134443;0.789716;0.208838
22;19;132647;0.78575;0.215124
22;19;134964;0.79463;0.195513
22;19;132818;0.803711;0.206487
22;19;135435;0.799477;0.213712
22;19;133849;0.806474;0.200625
22;19;135563;0.797915;0.191879
22;19;134567;0.791601;0.202933
22;19;134165;0.790593;0.181789
22;19;134900;0.79295;0.191537
22;19;133204;0.825739;0.195372
22;19;134693;0.799996;0.204654
22;19;134117;0.789866;0.184572
22;19;134305;0.793623;0.203909
22;19;134846;0.783396;0.206557
22;19;134269;0.797004;0.212321
22;19;134158;0.807303;0.211154
22;19;133653;0.790464;0.207248
22;19;134675;0.792435;0.200572
22;19;134665;0.792481;0.213088
22;19;133913;0.801847;0.211253
22;19;132835;0.798724;0.203649
22;19;133795;0.787519;0.204986
22;19;135443;0.790046;0.178375
22;19;134823;0.797351;0.224352
22;19;134744;0.788694;0.211367
22;19;134726;0.802725;0.219499
22;19;134586;0.796683;0.200539
22;19;132456;0.809357;0.203195
22;19;133986;0.796563;0.212802
22;19;134323;0.807381;0.203448
22;19;134414;0.79354;0.194962
22;19;134884;0.793824;0.21316
22;19;135230;0.799602;0.188201
22;19;133648;0.791202;0.205196
22;19;135668;0.804547;0.216802
22;19;137159;0.783806;0.193448
22;19;133112;0.805456;0.221055
22;19;133063;0.809738;0.193781
22;19;133957;0.795917;0.204078
22;19;133872;0.795078;0.194697
22;19;134466;0.806475;0.215982
22;19;132083;0.8066;0.216826
22;19;134111;0.801182;0.193908
22;19;133545;0.796336;0.190268
22;19;133355;0.80679;0.196623
22;19;132920;0.822532;0.198612
22;19;133478;0.793833;0.212543
22;19;133183;0.783002;0.218736
22;19;134544;0.791673;0.204418
22;19;133831;0.805698;0.201871
22;19;134689;0.790438;0.192419
22;19;133106;0.803649;0.210924
22;19;135191;0.792294;0.197149
22;19;133940;0.792801;0.187299
22;19;134441;0.788652;0.199185
22;19;134508;0.803195;0.21908
22;19;134624;0.819945;0.209435
22;19;133456;0.78918;0.197316
22;19;134350;0.794261;0.198807
22;19;133815;0.786002;0.19809
22;19;134331;0.804794;0.20761
22;19;134736;0.809153;0.203653
22;19;134195;0.802951;0.181094
22;19;134709;0.808819;0.176092
22;19;136425;0.802398;0.205257
22;19;135377;0.783429;0.208138
22;19;135552;0.813916;0.170109
22;19;135162;0.779151;0.20607
22;19;135264;0.814708;0.181015
22;19;134359;0.782372;0.200478
22;19;134290;0.796288;0.198471
22;19;135955;0.789779;0.20289
22;19;134431;0.797055;0.205922
22;19;136699;0.799382;0.209946
22;19;132983;0.784593;0.181528
22;19;135508;0.802074;0.207797
22;19;134986;0.80065;0.197545
22;19;135546;0.804428;0.2032
22;19;134160;0.813271;0.201651
22;19;134679;0.794057;0.211935
22;19;134175;0.808355;0.213726
22;19;134084;0.780795;0.219221
22;19;134352;0.783171;0.210741
22;19;134409;0.800374;0.202885
22;19;133615;0.826292;0.206151
22;19;135072;0.796009;0.204137
22;19;135471;0.794225;0.204781
22;19;134958;0.79065;0.21452
22;19;134401;0.807386;0.20448
22;19;132922;0.789145;0.210781
22;19;135073;0.793351;0.202396
22;19;134913;0.82986;0.208654
22;19;132795;0.805955;0.217694
22;19;133695;0.8001;0.198558
22;19;134256;0.800783;0.207413
22;19;134168;0.783198;0.204993
22;19;134109;0.785839;0.205283
22;19;135311;0.807092;0.204131
22;19;134453;0.81707;0.212439
22;19;134718;0.795981;0.195181
22;19;134269;0.815607;0.202983
22;19;133673;0.793485;0.203405
22;19;135265;0.826415;0.207286
22;19;134927;0.815279;0.208914
22;19;134323;0.8077;0.203522
22;19;135094;0.811217;0.215929
22;19;134260;0.818082;0.193126
22;19;132859;0.792341;0.219965
22;19;132576;0.807921;0.185092
22;19;133989;0.792725;0.209972
22;19;134464;0.806151;0.221222
22;19;134876;0.830918;0.201391
22;19;134513;0.81752;0.196308
22;19;133177;0.792041;0.213412
22;19;134011;0.792279;0.174233
22;19;134866;0.800608;0.209448
22;19;133934;0.793486;0.201628
22;19;135455;0.789576;0.193747
22;19;133984;0.79042;0.189475
22;19;134722;0.785308;0.198677
22;19;135192;0.779863;0.191623
22;19;134118;0.793763;0.19916
22;19;134963;0.794982;0.195574
22;19;134112;0.792203;0.188414
22;19;136477;0.793606;0.197409
22;19;133755;0.812917;0.207332
22;19;133584;0.817457;0.182706
22;19;134945;0.808832;0.189327
22;19;134384;0.822923;0.199191
22;19;136355;0.815284;0.211243
22;19;133759;0.794856;0.201883
22;19;134210;0.783926;0.1894
22;19;133822;0.795449;0.209021
22;19;134337;0.787746;0.219525
22;19;134287;0.800563;0.202297
22;19;132686;0.826355;0.194866
22;19;133259;0.787184;0.210483
22;19;135109;0.789034;0.183605
22;19;133070;0.790829;0.200287
22;19;135567;0.783986;0.210012
22;19;135882;0.806287;0.202949
22;19;134568;0.797269;0.195894
22;19;134966;0.791186;0.192916
22;19;134866;0.793382;0.198505
22;19;134322;0.814991;0.213912
22;19;134264;0.807433;0.179244
22;19;134277;0.788706;0.205687
22;19;135202;0.811073;0.209604
22;19;135044;0.819251;0.203332
22;19;134207;0.798113;0.185898
22;19;132600;0.798337;0.198248
22;19;134032;0.77982;0.221422
22;19;135034;0.797377;0.189125
22;19;135185;0.790936;0.187389
22;19;135148;0.781761;0.21238
22;19;133782;0.799162;0.168003
22;19;133609;0.806183;0.195867
22;19;135665;0.787272;0.205647
22;19;135982;0.780942;0.220948
22;19;134267;0.785978;0.208935
22;19;134237;0.792662;0.200537
22;19;134536;0.792827;0.213565
22;19;135266;0.808569;0.220236
22;19;135195;0.801519;0.183919
22;19;134888;0.786993;0.216748
22;19;134717;0.796279;0.196381
22;19;133306;0.800809;0.204665
22;19;134299;0.788196;0.209383
22;19;134913;0.8066;0.213608
22;19;133573;0.790427;0.177817
22;19;134892;0.790482;0.182233
22;19;134119;0.804045;0.214634
22;19;135489;0.812146;0.214621
22;19;133753;0.788274;0.198698
22;19;132964;0.802535;0.201046
22;19;135997;0.823149;0.202314
22;19;135594;0.779819;0.199491
22;19;133968;0.786336;0.205225
22;19;136229;0.804169;0.18772
22;19;134751;0.780861;0.20751
22;19;134395;0.797251;0.184942
22;19;134851;0.785645;0.199135
22;19;136157;0.793708;0.214031
22;19;134389;0.79711;0.188363
22;19;134900;0.815861;0.215745
22;19;135482;0.804471;0.204395
22;19;134153;0.799303;0.203719
22;19;134697;0.802849;0.212965
22;19;134084;0.802803;0.201115
22;19;134543;0.815822;0.216591
22;19;135174;0.786438;0.207942
22;19;133929;0.789451;0.200164
22;19;134576;0.783693;0.20027
22;19;134380;0.83296;0.204152
22;19;133601;0.811557;0.206481
22;19;134590;0.795023;0.209619
22;19;134979;0.802331;0.19551
22;19;133856;0.795692;0.212591
22;19;133340;0.787412;0.211574
22;19;134412;0.809501;0.210931
22;19;133648;0.804027;0.217502
22;19;135199;0.796261;0.216906
22;19;134962;0.795724;0.190467
22;19;133617;0.795744;0.207072
22;19;134360;0.784699;0.216181
22;19;134760;0.798873;0.201547
22;19;135240;0.779745;0.204277
22;19;133869;0.788163;0.2016
22;19;134555;0.803748;0.203918
22;19;134411;0.805861;0.203441
22;19;132652;0.800447;0.206189
22;19;133886;0.788365;0.210962
22;19;133958;0.785767;0.201618
22;19;134993;0.79143;0.20494
22;19;135502;0.815307;0.203344
22;19;135242;0.80982;0.208944
22;19;134405;0.792466;0.179769
22;19;134140;0.813987;0.177054
22;19;134022;0.815196;0.219029
22;19;134746;0.790764;0.223689
22;19;133178;0.817421;0.214967
22;19;131118;0.802575;0.220843
22;19;135346;0.794865;0.211499
22;19;135238;0.781318;0.164751
22;19;134496;0.786183;0.177032
22;19;134459;0.803088;0.190563
22;19;133461;0.812326;0.188321
22;19;134097;0.778824;0.207188
22;19;134359;0.796116;0.201018
22;19;135108;0.815358;0.214405
22;19;134681;0.814162;0.201545
22;19;134557;0.787804;0.21454
22;19;133342;0.79445;0.206583
22;19;133839;0.782952;0.228639
22;19;133449;0.789361;0.176862
22;19;133643;0.783884;0.212029
22;19;132174;0.786987;0.207312
22;19;133592;0.788867;0.203575
22;19;133662;0.79892;0.185901
22;19;135069;0.84505;0.205613
22;19;134781;0.804947;0.18899
22;19;134636;0.80923;0.198088
22;19;134787;0.776439;0.180315
22;19;135008;0.815975;0.210299
22;19;133391;0.795863;0.208
22;19;134942;0.786237;0.209507
22;19;132941;0.79526;0.188776
22;19;134415;0.832456;0.203247
22;19;133096;0.812956;0.193689
22;19;134109;0.802624;0.191786
22;19;134581;0.811495;0.203701
22;19;131930;0.793009;0.217774
22;19;134828;0.792453;0.213302
22;19;135180;0.792626;0.212155
22;19;133509;0.785303;0.218981
22;19;132575;0.78944;0.176516
22;19;132788;0.792137;0.209425
22;19;133746;0.783427;0.198348
22;19;134332;0.799885;0.183886
22;19;132445;0.780048;0.203751
22;19;134209;0.799045;0.203918
22;19;135525;0.803456;0.210411
22;19;134423;0.793629;0.21116
22;19;133249;0.791263;0.204263
22;19;135377;0.83335;0.206727
22;19;134709;0.836893;0.183867
22;19;133876;0.786242;0.210996
22;19;135500;0.813778;0.207511
22;19;134752;0.792807;0.203591
22;19;134232;0.804205;0.20093
22;19;133738;0.786699;0.207031
22;19;134091;0.801278;0.20175
22;19;134662;0.80315;0.207364
22;19;135277;0.785615;0.20895
22;19;135331;0.823041;0.204805
22;19;134062;0.822702;0.203406
22;19;132790;0.80012;0.184833
22;19;135157;0.802165;0.207541
22;19;134021;0.8098;0.208342
22;19;134141;0.79768;0.206423
22;19;134885;0.798684;0.208693
22;19;134671;0.797162;0.202449
22;19;134999;0.799875;0.214691
22;19;134520;0.791408;0.209723
22;19;135497;0.782474;0.209254
22;19;134616;0.787868;0.200256
22;19;133761;0.782047;0.218942
22;19;135447;0.793254;0.199562
22;19;133008;0.802772;0.206325
22;19;133875;0.797116;0.183815
22;19;134075;0.797394;0.199538
22;19;132981;0.801761;0.20723
22;19;133724;0.801;0.209458
22;19;135170;0.793313;0.20718
22;19;133950;0.782134;0.207321
22;19;134210;0.773073;0.203682
22;19;134641;0.807889;0.190997
22;19;130730;0.79367;0.186131
22;19;135025;0.78592;0.178809
22;19;134448;0.80157;0.209437
22;19;134193;0.783367;0.200453
22;19;133635;0.799611;0.217193
22;19;134972;0.795126;0.186535
22;19;134478;0.803593;0.210149
22;19;134405;0.793399;0.209058
22;19;133715;0.8008;0.207061
22;19;134852;0.810761;0.211334
22;19;134890;0.792669;0.183725
22;19;133761;0.788305;0.199727
22;19;134771;0.809887;0.219646
22;19;134536;0.8127;0.173401
22;19;134619;0.812466;0.21501
22;19;133682;0.804151;0.221634
22;19;133228;0.795649;0.194522
22;19;134215;0.804193;0.200827
22;19;134487;0.801828;0.183871
22;19;133438;0.796284;0.19221
22;19;134045;0.801763;0.201696
22;19;134508;0.802599;0.209756
22;19;135004;0.80267;0.202382
22;19;135365;0.794669;0.215848
22;19;134236;0.795351;0.209789
22;19;132654;0.78983;0.222022
22;19;135127;0.778778;0.197645
22;19;134108;0.80793;0.21857
22;19;135001;0.78374;0.218273
22;19;133318;0.8109;0.201542
22;19;134225;0.784785;0.205961
22;19;133073;0.790547;0.216752
22;19;133442;0.796303;0.203731
22;19;134922;0.792352;0.186983
22;19;134697;0.786763;0.217783
22;19;134003;0.835122;0.190317
22;19;133732;0.790651;0.208922
22;19;134163;0.775879;0.199845
22;19;123281;0.821511;0.20042
22;19;134194;0.809145;0.206544
22;19;135113;0.80547;0.18122
22;19;132668;0.777961;0.213262
22;19;136811;0.789882;0.20306
22;19;133114;0.789492;0.212949
22;19;134578;0.79537;0.202009
22;19;134179;0.796691;0.206083
22;19;134202;0.813565;0.203814
22;19;134944;0.797592;0.20487
22;19;132788;0.81164;0.209201
22;19;134183;0.785935;0.167153
22;19;136036;0.799067;0.200865
22;19;132656;0.788089;0.201699
22;19;135472;0.791374;0.208354
22;19;133930;0.797273;0.19707
22;19;135399;0.804836;0.213026
22;19;134405;0.791597;0.214674
22;19;134042;0.790566;0.207276
22;19;135242;0.79191;0.180874
22;19;132972;0.787688;0.198418
22;19;135136;0.794634;0.205773
22;19;133611;0.788016;0.214893
22;19;133759;0.793493;0.217739
22;19;133392;0.790216;0.207056
22;19;134694;0.798522;0.2166
22;19;133315;0.800729;0.210586
22;19;133786;0.785093;0.202367
22;19;134754;0.785628;0.195843
22;19;135127;0.795739;0.216786
22;19;135325;0.778957;0.215484
22;19;132942;0.784009;0.215796
22;19;133450;0.791915;0.20741
22;19;133297;0.78853;0.203964
22;19;134401;0.798946;0.199098
22;19;133270;0.802976;0.20497
22;19;134768;0.784323;0.202018
22;19;134128;0.804689;0.214579
22;19;134170;0.803534;0.205555
22;19;134054;0.801809;0.210969
22;19;134725;0.801396;0.206024
22;19;133963;0.792858;0.205296
22;19;134563;0.80285;0.211399
22;19;135452;0.810553;0.209273
22;19;134181;0.80226;0.212504
22;19;134053;0.797272;0.185632
22;19;135411;0.802081;0.212524
22;19;135267;0.793926;0.198576
22;19;134323;0.77714;0.208834
22;19;134736;0.802235;0.192161
22;19;134625;0.802177;0.223013
22;19;133902;0.809014;0.181197
22;19;133302;0.793063;0.208855
22;19;134603;0.819548;0.206876
22;19;131412;0.798595;0.212229
22;19;135438;0.808085;0.209351
22;19;133580;0.781308;0.21214
22;19;134812;0.807806;0.212541
22;19;134023;0.796056;0.21324
22;19;134562;0.80477;0.212298
22;19;133044;0.787525;0.159388
22;19;131894;0.79445;0.213978
22;19;134401;0.796246;0.187202
22;19;133953;0.788904;0.190769
22;19;134790;0.812973;0.192699
22;19;135805;0.793822;0.209551
22;19;134762;0.791112;0.191746
22;19;133370;0.777559;0.207091
22;19;133813;0.783126;0.194889
22;19;134914;0.811507;0.181909
22;19;134656;0.8122;0.210156
22;19;133819;0.805236;0.206067
22;19;133903;0.814524;0.20872
22;19;134380;0.786585;0.196964
22;19;133818;0.806054;0.203159
22;19;135478;0.78629;0.215565
22;19;132062;0.792591;0.198275
22;19;135761;0.796045;0.219438
22;19;134593;0.792776;0.217431
22;19;134449;0.794249;0.203525
22;19;134956;0.791978;0.204063
22;19;135347;0.798921;0.218779
22;19;134718;0.799859;0.212522
22;19;134654;0.785155;0.212135
22;19;133824;0.799038;0.214717
22;19;134885;0.783945;0.180706
22;19;133812;0.828694;0.187086
22;19;134251;0.807149;0.191457
22;19;133222;0.790262;0.185675
22;19;135195;0.795787;0.207819
22;19;134482;0.799087;0.209108
22;19;134272;0.803671;0.183619
22;19;134653;0.792485;0.189471
22;19;134138;0.788893;0.186152
22;19;134379;0.784505;0.197756
22;19;134190;0.782882;0.205258
22;19;134274;0.789527;0.190521
22;19;135009;0.77871;0.213299
22;19;134862;0.796945;0.195095
22;19;134322;0.792853;0.21777
22;19;134519;0.79688;0.212065
22;19;130252;0.809246;0.218871
22;19;132559;0.777234;0.21661
22;19;133498;0.796842;0.200845
22;19;134677;0.803213;0.208845
22;19;134362;0.79284;0.214718
22;19;134169;0.79216;0.191183
22;19;134558;0.777813;0.196484
22;19;134842;0.790076;0.207745
22;19;133746;0.789899;0.196543
22;19;133188;0.802653;0.196985
22;19;135377;0.799992;0.208065
22;19;133610;0.787913;0.196113
22;19;133848;0.811201;0.181134
22;19;134513;0.806307;0.205272
22;19;134538;0.785826;0.212501
22;19;134656;0.803007;0.17872
22;19;133098;0.777458;0.184483
22;19;134076;0.795593;0.204018
22;19;133194;0.818449;0.210306
22;19;133925;0.795321;0.196734
22;19;135737;0.793026;0.200948
22;19;134400;0.779396;0.212518
22;19;135971;0.797729;0.213549
22;19;134766;0.791863;0.212925
22;19;133710;0.804715;0.198513
22;19;131302;0.782957;0.220612
22;19;135282;0.784218;0.214636
22;19;133231;0.811406;0.203479
22;19;134252;0.813108;0.202517
22;19;134661;0.803964;0.195604
22;19;135593;0.79651;0.204336
22;19;133476;0.800856;0.197319
22;19;134713;0.783424;0.161696
22;19;134646;0.782718;0.202433
22;19;133562;0.79997;0.190133
22;19;133448;0.802559;0.192556
22;19;134937;0.803774;0.21784
22;19;134292;0.785027;0.207355
22;19;133980;0.812638;0.209133
22;19;133255;0.795457;0.204097
22;19;134150;0.80271;0.214699
22;19;135197;0.786046;0.211804
