N;K;peaks;maxValue;minValue
22;1;8;0.692739;0.295454
22;1;48;0.757051;0.298047
22;1;4;0.764897;0.2807
22;1;16;0.691344;0.287211
22;1;13;0.713163;0.269379
22;1;10;0.713319;0.334344
22;1;1;0.714201;0.274009
22;1;8;0.761522;0.367077
22;1;2;0.76565;0.337126
22;1;18;0.694536;0.297904
22;1;8;0.742557;0.306814
22;1;8;0.715968;0.331435
22;1;8;0.750123;0.345912
22;1;4;0.689706;0.261322
22;1;2;0.746796;0.316495
22;1;20;0.700018;0.379516
22;1;4;0.691018;0.234526
22;1;2;0.785244;0.26191
22;1;8;0.659105;0.321826
22;1;12;0.71907;0.27524
22;1;12;0.652712;0.294789
22;1;9;0.714354;0.271812
22;1;6;0.733256;0.260445
22;1;6;0.738672;0.256851
22;1;60;0.688905;0.315224
22;1;8;0.743722;0.313612
22;1;3;0.69653;0.199613
22;1;8;0.662747;0.284393
22;1;8;0.635239;0.320591
22;1;6;0.663994;0.301267
22;1;16;0.7708;0.329436
22;1;2;0.67707;0.280542
22;1;10;0.655078;0.301366
22;1;12;0.704356;0.219209
22;1;24;0.753924;0.178984
22;1;4;0.745932;0.278827
22;1;4;0.719328;0.361212
22;1;3;0.743889;0.279351
22;1;16;0.702523;0.282002
22;1;32;0.726596;0.292911
22;1;24;0.705412;0.250471
22;1;16;0.666436;0.316977
22;1;24;0.683657;0.202753
22;1;18;0.712535;0.256609
22;1;4;0.734307;0.278915
22;1;12;0.703741;0.346795
22;1;36;0.70189;0.324636
22;1;8;0.720732;0.21445
22;1;15;0.727079;0.351496
22;1;8;0.690236;0.365785
22;1;8;0.683918;0.284399
22;1;9;0.67029;0.280627
22;1;1;0.731545;0.249798
22;1;18;0.755415;0.286012
22;1;20;0.735781;0.343488
22;1;16;0.634092;0.254173
22;1;2;0.749253;0.315892
22;1;36;0.724543;0.29586
22;1;8;0.695345;0.192675
22;1;24;0.717997;0.232556
22;1;12;0.601433;0.265829
22;1;8;0.65644;0.210968
22;1;8;0.70085;0.285984
22;1;9;0.73778;0.26375
22;1;96;0.725035;0.292104
22;1;4;0.711931;0.266312
22;1;2;0.741221;0.33305
22;1;18;0.78229;0.378737
22;1;32;0.68045;0.258171
22;1;16;0.687;0.272564
22;1;8;0.752597;0.296536
22;1;10;0.713507;0.283681
22;1;24;0.738238;0.244133
22;1;8;0.731427;0.248932
22;1;4;0.741704;0.270371
22;1;18;0.75526;0.269093
22;1;8;0.715406;0.291426
22;1;24;0.715868;0.327248
22;1;16;0.603607;0.278706
22;1;18;0.677058;0.326485
22;1;16;0.633757;0.256074
22;1;32;0.739959;0.319403
22;1;45;0.760482;0.272782
22;1;10;0.700952;0.300197
22;1;6;0.734883;0.269594
22;1;32;0.740687;0.280784
22;1;6;0.774095;0.213993
22;1;6;0.742863;0.328953
22;1;2;0.774988;0.293977
22;1;16;0.720926;0.310559
22;1;6;0.76667;0.321821
22;1;92;0.671906;0.263186
22;1;2;0.747397;0.26422
22;1;7;0.722631;0.312089
