N;K;peaks;maxValue;minValue
22;7;4965;0.797278;0.208537
22;7;5456;0.800701;0.180542
22;7;4562;0.782991;0.196501
22;7;4595;0.804725;0.196983
22;7;4854;0.806844;0.18362
22;7;5414;0.802372;0.221204
22;7;5544;0.77786;0.184936
22;7;5202;0.806139;0.212215
22;7;5091;0.792909;0.214913
22;7;5228;0.774283;0.205753
22;7;5547;0.798468;0.211592
22;7;5085;0.791705;0.205413
22;7;5540;0.793895;0.192882
22;7;5151;0.80134;0.198583
22;7;5009;0.81962;0.215943
22;7;5325;0.822229;0.201255
22;7;5050;0.781082;0.204077
22;7;5193;0.797993;0.210952
22;7;4726;0.801334;0.208889
22;7;5547;0.787274;0.203692
22;7;5508;0.778976;0.206829
22;7;5031;0.789295;0.191225
22;7;4944;0.801627;0.220862
22;7;4652;0.809886;0.190471
22;7;5902;0.803426;0.214039
22;7;5284;0.846421;0.197751
22;7;4609;0.785354;0.202957
22;7;5659;0.795384;0.210727
22;7;5428;0.813964;0.195197
22;7;5266;0.799952;0.211407
22;7;5273;0.791652;0.204049
22;7;5200;0.79623;0.212698
22;7;4088;0.79969;0.20273
22;7;5090;0.787655;0.20265
22;7;6042;0.785482;0.211854
22;7;4972;0.788548;0.189662
22;7;4279;0.811384;0.21124
22;7;5991;0.777647;0.208182
22;7;4992;0.793995;0.188935
22;7;4979;0.788578;0.212539
22;7;5536;0.789442;0.22002
22;7;5028;0.793258;0.206787
22;7;5305;0.790476;0.182854
22;7;5233;0.79525;0.207415
22;7;4847;0.789301;0.197899
22;7;4710;0.797103;0.215956
22;7;5017;0.794068;0.208416
22;7;5705;0.784434;0.200026
22;7;4715;0.797683;0.204919
22;7;5455;0.816661;0.171957
22;7;5336;0.788143;0.216126
22;7;4779;0.790837;0.202022
22;7;4808;0.801618;0.223582
22;7;5147;0.786541;0.200973
22;7;5322;0.813344;0.193641
22;7;5348;0.809293;0.20396
22;7;5679;0.791731;0.204678
22;7;5358;0.783261;0.19331
22;7;4690;0.797346;0.169582
22;7;4917;0.792051;0.199897
22;7;5498;0.795752;0.198807
22;7;5377;0.795694;0.193809
22;7;4677;0.784009;0.211435
22;7;5459;0.787087;0.190922
22;7;4195;0.775108;0.180953
22;7;5460;0.798438;0.181656
22;7;5466;0.795139;0.185648
22;7;4662;0.807823;0.212213
22;7;5427;0.799022;0.176223
22;7;5510;0.784393;0.220629
22;7;5821;0.794613;0.208989
22;7;4747;0.782777;0.210196
22;7;5136;0.790231;0.213675
22;7;5351;0.802018;0.210639
22;7;5333;0.829175;0.201188
22;7;5001;0.783311;0.211796
22;7;5280;0.791001;0.182187
22;7;5537;0.799542;0.207836
22;7;5185;0.790996;0.201792
22;7;5401;0.812792;0.192863
22;7;5164;0.805755;0.207308
22;7;5478;0.805259;0.180849
22;7;5004;0.800241;0.211473
22;7;5354;0.790581;0.201791
22;7;4409;0.810267;0.22436
22;7;4897;0.817552;0.21031
22;7;5484;0.792516;0.201248
22;7;4997;0.806516;0.198403
22;7;4918;0.766717;0.216288
22;7;5043;0.803891;0.202935
22;7;4773;0.7974;0.212957
22;7;4023;0.803355;0.209844
22;7;4794;0.800746;0.201473
22;7;5080;0.786129;0.211873
22;7;5213;0.784544;0.182485
22;7;5443;0.793477;0.227419
22;7;5225;0.802551;0.189859
22;7;5195;0.77514;0.208871
22;7;5201;0.786467;0.201808
22;7;5228;0.796284;0.219766
22;7;5261;0.783097;0.224268
22;7;5507;0.781046;0.208722
22;7;5062;0.774418;0.185162
22;7;4534;0.796545;0.215445
22;7;5424;0.80916;0.201456
22;7;4274;0.807704;0.169519
22;7;5016;0.843335;0.209008
22;7;5114;0.785153;0.19944
22;7;5263;0.816698;0.221878
22;7;5394;0.797345;0.210599
22;7;4410;0.821075;0.226059
22;7;5323;0.807933;0.186469
22;7;5014;0.781398;0.213962
22;7;5385;0.782281;0.212119
22;7;5355;0.784858;0.205728
22;7;5331;0.777666;0.21379
22;7;4961;0.801638;0.210779
22;7;4785;0.77645;0.208155
22;7;4661;0.805389;0.205499
22;7;5046;0.797268;0.227113
22;7;5009;0.786075;0.237108
22;7;5048;0.802076;0.199104
22;7;5530;0.785804;0.202772
22;7;5777;0.796696;0.193751
22;7;5480;0.805886;0.19231
22;7;5099;0.770463;0.208017
22;7;4785;0.789125;0.205441
22;7;5249;0.776335;0.208713
22;7;4954;0.808545;0.211856
22;7;5148;0.769792;0.22352
22;7;5061;0.784274;0.202314
22;7;5171;0.796028;0.197493
22;7;5702;0.801823;0.198322
22;7;4277;0.825872;0.209194
22;7;5093;0.798033;0.223614
22;7;5699;0.778956;0.204228
22;7;5444;0.779532;0.202022
22;7;5421;0.805257;0.206304
22;7;5209;0.808343;0.201248
22;7;5213;0.784052;0.20192
22;7;5504;0.78667;0.193024
22;7;5001;0.768752;0.18553
22;7;5875;0.808266;0.204357
22;7;5230;0.789533;0.20796
22;7;4837;0.784931;0.22586
22;7;4932;0.789088;0.188968
22;7;5295;0.80713;0.182463
22;7;5069;0.833937;0.214319
22;7;5508;0.793965;0.194405
22;7;4990;0.819407;0.205926
22;7;5137;0.792778;0.222404
22;7;5026;0.833684;0.208744
22;7;5157;0.804874;0.196077
22;7;4983;0.784062;0.220704
22;7;4276;0.830056;0.215851
22;7;5498;0.792144;0.194254
22;7;5365;0.788725;0.212145
22;7;5147;0.804762;0.201923
22;7;5057;0.78485;0.205831
22;7;4361;0.774074;0.213141
22;7;5298;0.801426;0.212385
22;7;5491;0.793512;0.191998
22;7;5082;0.786412;0.194862
22;7;4591;0.828574;0.202097
22;7;5046;0.785944;0.190167
22;7;4783;0.793257;0.181977
22;7;5471;0.786691;0.202434
22;7;4926;0.786287;0.218524
22;7;5499;0.788532;0.205411
22;7;5103;0.814239;0.222502
22;7;4943;0.803568;0.21761
22;7;4846;0.792926;0.202373
22;7;5058;0.783134;0.217851
22;7;4875;0.812865;0.206194
22;7;4950;0.794568;0.201364
22;7;4720;0.779733;0.19833
22;7;5550;0.793471;0.210319
22;7;5058;0.781331;0.210978
22;7;5022;0.806964;0.209412
22;7;4673;0.790463;0.213649
22;7;5299;0.783785;0.197503
22;7;4956;0.794778;0.210462
22;7;5572;0.780518;0.193867
22;7;5201;0.796676;0.193843
22;7;4887;0.786447;0.162581
22;7;5278;0.79108;0.217942
22;7;5353;0.777575;0.203561
22;7;5453;0.803048;0.208752
22;7;4633;0.764334;0.214968
22;7;5261;0.791377;0.209523
22;7;5210;0.777396;0.18502
22;7;5037;0.790398;0.199174
22;7;5209;0.787415;0.204119
22;7;5030;0.803965;0.215032
22;7;5171;0.783248;0.205964
22;7;5131;0.78178;0.225451
22;7;5411;0.81865;0.194578
22;7;5312;0.798602;0.211899
22;7;5361;0.805331;0.199284
22;7;4797;0.834927;0.209483
22;7;5342;0.797275;0.212095
22;7;5119;0.795468;0.173669
22;7;5778;0.779801;0.164988
22;7;5309;0.801005;0.202384
22;7;5174;0.787401;0.217927
22;7;5032;0.787508;0.218057
22;7;5438;0.813118;0.203051
22;7;5252;0.792917;0.190402
22;7;5046;0.793719;0.211889
22;7;5406;0.799219;0.215784
22;7;5272;0.813497;0.201916
22;7;5679;0.783621;0.207005
22;7;4575;0.786107;0.18475
22;7;5428;0.8013;0.189135
22;7;4694;0.8239;0.211098
22;7;5085;0.804835;0.211945
22;7;5009;0.791441;0.220776
22;7;4843;0.81497;0.20108
22;7;5520;0.795584;0.196353
22;7;5295;0.79141;0.197031
22;7;5473;0.806887;0.20477
22;7;5176;0.789135;0.20785
22;7;5137;0.796004;0.208564
22;7;4726;0.78658;0.207843
22;7;4763;0.798584;0.214411
22;7;5113;0.809674;0.187052
22;7;5454;0.781451;0.200543
22;7;5186;0.793076;0.200085
22;7;5167;0.794557;0.197381
22;7;4782;0.802628;0.226163
22;7;5568;0.800787;0.201979
22;7;5243;0.804033;0.19187
22;7;5023;0.776271;0.20693
22;7;4862;0.788904;0.203261
22;7;4985;0.797713;0.19737
22;7;5291;0.824319;0.194324
22;7;4961;0.790618;0.205471
22;7;5286;0.799249;0.176919
22;7;5274;0.805537;0.203927
22;7;4599;0.774335;0.177976
22;7;5097;0.838069;0.21409
22;7;5357;0.812339;0.189873
22;7;5154;0.77751;0.20664
22;7;5281;0.812209;0.198354
22;7;5099;0.812609;0.204979
22;7;5029;0.802265;0.206598
22;7;4884;0.803488;0.21432
22;7;5266;0.768328;0.211099
22;7;5158;0.785822;0.176538
22;7;4610;0.814622;0.208263
22;7;4742;0.790377;0.206379
22;7;5527;0.787603;0.223621
22;7;5101;0.804674;0.196744
22;7;5093;0.788956;0.197801
22;7;4838;0.790134;0.222778
22;7;4479;0.790429;0.196953
22;7;5322;0.80118;0.195408
22;7;5224;0.790448;0.210191
22;7;5206;0.786802;0.206075
22;7;5053;0.794531;0.193988
22;7;5748;0.792887;0.216784
22;7;5244;0.79081;0.227508
22;7;4861;0.811562;0.207375
22;7;5271;0.793303;0.21551
22;7;5147;0.809739;0.204919
22;7;4808;0.78611;0.204686
22;7;4810;0.77112;0.21386
22;7;5790;0.789765;0.207598
22;7;3955;0.786945;0.184513
22;7;5104;0.793153;0.20325
22;7;5155;0.785597;0.20762
22;7;4584;0.798247;0.205905
22;7;5049;0.782636;0.215187
22;7;6042;0.790646;0.213573
22;7;5157;0.80261;0.212995
22;7;5162;0.792424;0.224046
22;7;4810;0.783699;0.202103
