N;K;peaks;maxValue;minValue
22;2;58;0.724708;0.26982
22;2;103;0.736187;0.276116
22;2;35;0.800641;0.228223
22;2;64;0.75683;0.296957
22;2;133;0.737095;0.249765
22;2;68;0.772485;0.320177
22;2;52;0.755797;0.312342
22;2;59;0.76318;0.289112
22;2;48;0.781438;0.246562
22;2;89;0.767088;0.261523
22;2;48;0.756155;0.299174
22;2;86;0.723279;0.213357
22;2;61;0.789478;0.276978
22;2;33;0.757645;0.281325
22;2;66;0.777379;0.268304
22;2;75;0.797957;0.320321
22;2;54;0.736309;0.220697
22;2;281;0.754249;0.281728
22;2;52;0.778148;0.290622
22;2;92;0.702246;0.25886
22;2;81;0.74648;0.282153
22;2;126;0.721232;0.240574
22;2;66;0.725812;0.276757
22;2;51;0.831451;0.298232
22;2;96;0.711396;0.271989
22;2;109;0.689661;0.294166
22;2;103;0.722233;0.26874
22;2;59;0.741679;0.243654
22;2;77;0.766409;0.301124
22;2;116;0.7332;0.278725
22;2;70;0.749779;0.232243
22;2;50;0.712654;0.219524
22;2;30;0.734261;0.247612
22;2;75;0.72519;0.267654
22;2;92;0.688903;0.213603
22;2;92;0.68165;0.268311
22;2;41;0.768569;0.291725
22;2;165;0.717254;0.272019
22;2;48;0.769662;0.214439
22;2;299;0.734286;0.293852
22;2;81;0.743057;0.26064
22;2;72;0.726706;0.255215
22;2;106;0.744261;0.272121
22;2;84;0.763163;0.295583
22;2;116;0.734632;0.22673
22;2;102;0.753187;0.292772
22;2;93;0.756264;0.239891
22;2;69;0.723295;0.269041
22;2;53;0.772659;0.229291
22;2;39;0.773032;0.264272
22;2;79;0.804491;0.299734
22;2;122;0.746703;0.242792
22;2;146;0.719579;0.257833
22;2;97;0.768373;0.245456
22;2;69;0.75006;0.279236
22;2;82;0.739187;0.248832
22;2;83;0.749998;0.275359
22;2;144;0.686908;0.290516
22;2;65;0.727625;0.305197
22;2;48;0.764216;0.257722
22;2;115;0.755234;0.232691
22;2;70;0.757356;0.28923
22;2;19;0.755193;0.255682
22;2;198;0.782195;0.28334
22;2;57;0.75115;0.265512
22;2;122;0.775791;0.253552
22;2;105;0.720734;0.287943
22;2;64;0.721504;0.263006
22;2;65;0.769957;0.231674
22;2;55;0.711902;0.255461
22;2;56;0.741943;0.282273
22;2;19;0.75512;0.145905
22;2;84;0.712364;0.251838
22;2;76;0.698205;0.223222
22;2;96;0.729275;0.271416
22;2;38;0.749829;0.203648
22;2;94;0.749131;0.303808
22;2;70;0.713891;0.242015
22;2;91;0.706807;0.241964
22;2;33;0.72527;0.261645
