N;K;peaks;maxValue;minValue
22;0;1;0.631715;0.222534
22;0;1;0.639749;0.332542
22;0;1;0.65452;0.327177
22;0;1;0.630391;0.297314
22;0;1;0.717728;0.348691
22;0;1;0.6675;0.241557
22;0;1;0.567424;0.280073
22;0;1;0.649066;0.346351
22;0;1;0.574494;0.337262
22;0;1;0.725076;0.394161
22;0;1;0.610201;0.344252
22;0;1;0.659899;0.372283
22;0;1;0.593188;0.360823
22;0;1;0.617062;0.291316
22;0;1;0.573254;0.352502
22;0;1;0.653326;0.324811
22;0;1;0.607495;0.284771
22;0;1;0.799812;0.420625
22;0;1;0.65709;0.324529
22;0;1;0.626882;0.340759
22;0;1;0.71007;0.419642
22;0;1;0.665814;0.301621
22;0;1;0.66352;0.228996
22;0;1;0.625879;0.253889
22;0;1;0.677444;0.308107
22;0;1;0.677683;0.323172
22;0;1;0.695743;0.363489
22;0;1;0.606732;0.259394
22;0;1;0.638592;0.363578
22;0;1;0.674977;0.346936
22;0;1;0.73174;0.223676
22;0;1;0.686992;0.360305
22;0;1;0.67959;0.332499
22;0;1;0.695232;0.3398
22;0;1;0.780364;0.417584
22;0;1;0.690704;0.4294
22;0;1;0.678266;0.369647
22;0;1;0.690445;0.342933
22;0;1;0.709;0.375241
22;0;1;0.727454;0.282329
22;0;1;0.612911;0.257284
22;0;1;0.607995;0.301012
22;0;1;0.690285;0.300938
22;0;1;0.671543;0.288375
22;0;1;0.672885;0.378071
22;0;1;0.601214;0.288708
22;0;1;0.704118;0.352653
22;0;1;0.538372;0.235111
22;0;1;0.614108;0.304998
22;0;1;0.648762;0.29089
22;0;1;0.633956;0.234842
22;0;1;0.689686;0.302193
22;0;1;0.638169;0.414125
22;0;1;0.689769;0.35264
22;0;1;0.593879;0.263209
22;0;1;0.766753;0.420696
22;0;1;0.686363;0.334251
22;0;1;0.771211;0.415023
22;0;1;0.57999;0.300747
22;0;1;0.768486;0.306613
22;0;1;0.615963;0.303783
22;0;1;0.622076;0.363504
22;0;1;0.657844;0.329927
22;0;1;0.657216;0.362158
22;0;1;0.647136;0.308068
22;0;1;0.70793;0.304589
22;0;1;0.757984;0.431344
22;0;1;0.791822;0.463769
22;0;1;0.727443;0.354748
22;0;1;0.756706;0.272317
22;0;1;0.686005;0.445254
22;0;1;0.700503;0.365113
22;0;1;0.656054;0.332141
22;0;1;0.638204;0.28998
22;0;1;0.580142;0.305649
22;0;1;0.675671;0.319095
22;0;1;0.710373;0.386486
22;0;1;0.697117;0.320869
22;0;1;0.739589;0.361117
22;0;1;0.685158;0.411691
22;0;1;0.687353;0.357397
22;0;1;0.553753;0.246081
22;0;1;0.677851;0.301751
22;0;1;0.68577;0.373887
22;0;1;0.710392;0.296726
22;0;1;0.755494;0.286334
22;0;1;0.69702;0.281706
22;0;1;0.625996;0.355725
22;0;1;0.703466;0.297117
22;0;1;0.637189;0.34323
22;0;1;0.656279;0.335175
22;0;1;0.642475;0.330102
22;0;1;0.727432;0.376138
22;0;1;0.746942;0.281644
22;0;1;0.696682;0.269102
22;0;1;0.680333;0.382547
22;0;1;0.59224;0.348873
22;0;1;0.57787;0.231865
22;0;1;0.709446;0.306357
22;0;1;0.61976;0.321552
22;0;1;0.620928;0.357276
22;0;1;0.689448;0.361745
22;0;1;0.710463;0.495681
22;0;1;0.781072;0.393533
22;0;1;0.636186;0.368673
22;0;1;0.651445;0.359036
22;0;1;0.672054;0.357474
22;0;1;0.683344;0.326814
22;0;1;0.710699;0.303079
22;0;1;0.659269;0.284619
22;0;1;0.582811;0.283319
22;0;1;0.544247;0.270423
22;0;1;0.66295;0.303522
22;0;1;0.700647;0.400785
22;0;1;0.738558;0.352238
22;0;1;0.61034;0.36882
22;0;1;0.582429;0.240619
22;0;1;0.637861;0.369156
22;0;1;0.680273;0.369617
22;0;1;0.670158;0.303456
22;0;1;0.752552;0.335738
22;0;1;0.593419;0.2517
22;0;1;0.698966;0.337265
22;0;1;0.63106;0.291942
22;0;1;0.503877;0.272249
22;0;1;0.69055;0.298352
22;0;1;0.683893;0.39214
22;0;1;0.712303;0.355733
22;0;1;0.672968;0.35658
22;0;1;0.663463;0.31857
22;0;1;0.701822;0.40237
22;0;1;0.663173;0.346728
22;0;1;0.639639;0.306495
22;0;1;0.559128;0.254559
22;0;1;0.617577;0.345447
22;0;1;0.794738;0.380905
22;0;1;0.537191;0.262759
22;0;1;0.678464;0.469067
22;0;1;0.649739;0.324014
22;0;1;0.676362;0.280097
22;0;1;0.730145;0.374901
