N;K;peaks;maxValue;minValue
22;6;2994;0.782536;0.206949
22;6;2875;0.779496;0.197619
22;6;2899;0.789425;0.205237
22;6;3104;0.788873;0.208928
22;6;2644;0.808492;0.19353
22;6;3205;0.80073;0.230511
22;6;3176;0.771049;0.21362
22;6;2916;0.795178;0.196379
22;6;2965;0.787264;0.180704
22;6;2969;0.785137;0.183366
22;6;2954;0.791172;0.201592
22;6;3376;0.776848;0.231231
22;6;3032;0.797096;0.203863
22;6;3073;0.808449;0.210393
22;6;2867;0.808076;0.220804
22;6;2338;0.789296;0.183169
22;6;2819;0.783794;0.18793
22;6;2979;0.783056;0.212596
22;6;3179;0.797617;0.211403
22;6;2753;0.804007;0.215042
22;6;3074;0.818742;0.214592
22;6;3207;0.792447;0.222853
22;6;3002;0.783988;0.206113
22;6;2843;0.796163;0.212701
22;6;3196;0.810669;0.20489
22;6;2922;0.785237;0.230054
22;6;2891;0.79823;0.211845
22;6;3239;0.806278;0.223221
22;6;3085;0.808233;0.220197
22;6;2873;0.780917;0.203092
22;6;3159;0.795223;0.220749
22;6;2981;0.795781;0.162846
22;6;3317;0.815211;0.205285
22;6;2955;0.783745;0.219694
22;6;3670;0.777001;0.20275
22;6;2588;0.802139;0.217845
22;6;2594;0.793985;0.217087
22;6;3183;0.786943;0.214987
22;6;3343;0.81863;0.201961
22;6;3612;0.770983;0.224138
22;6;3073;0.798259;0.207131
22;6;3192;0.790543;0.208681
22;6;3093;0.80047;0.200958
22;6;2979;0.803945;0.203788
22;6;2812;0.833403;0.192394
22;6;2841;0.773183;0.180254
22;6;2860;0.813986;0.206963
22;6;3201;0.799044;0.205546
22;6;2915;0.793686;0.195764
22;6;3601;0.798329;0.17774
22;6;3140;0.790566;0.204119
22;6;3483;0.799569;0.200607
22;6;3408;0.81065;0.184293
22;6;2921;0.780657;0.213324
22;6;2946;0.781889;0.194071
22;6;2840;0.784566;0.196529
22;6;2741;0.784982;0.221532
22;6;3306;0.780662;0.198021
22;6;2487;0.772553;0.20133
22;6;3013;0.78948;0.206974
22;6;2640;0.819566;0.201735
22;6;3055;0.795119;0.206404
22;6;3262;0.773514;0.20165
22;6;3050;0.808199;0.198858
22;6;3302;0.783142;0.221695
22;6;3186;0.777213;0.211838
22;6;2889;0.830683;0.229726
22;6;3349;0.794027;0.188511
22;6;2598;0.808196;0.200654
22;6;3197;0.77821;0.212255
22;6;2817;0.795989;0.201448
22;6;3123;0.786285;0.226542
22;6;2481;0.769567;0.212178
22;6;2528;0.778762;0.20552
22;6;3130;0.829982;0.219992
22;6;2786;0.819523;0.219457
22;6;3325;0.796416;0.18738
22;6;2780;0.782233;0.187317
22;6;2885;0.806028;0.221795
