N;K;peaks;maxValue;minValue
22;12;31786;0.800133;0.194248
22;12;31429;0.791706;0.205188
22;12;31538;0.803427;0.205146
22;12;32476;0.774984;0.181476
22;12;32495;0.793314;0.191556
22;12;32549;0.801263;0.20406
22;12;30897;0.79306;0.214399
22;12;32296;0.785061;0.206315
22;12;31574;0.797419;0.199601
22;12;31515;0.770279;0.213344
22;12;31855;0.803119;0.216802
22;12;29810;0.810443;0.200752
22;12;32373;0.790309;0.200996
22;12;31967;0.796443;0.217965
22;12;31993;0.78741;0.193713
22;12;29797;0.798901;0.204025
22;12;31962;0.784142;0.195827
22;12;31836;0.788746;0.207879
22;12;31386;0.795863;0.204716
22;12;31064;0.79044;0.190337
22;12;33067;0.785426;0.204931
22;12;30422;0.801331;0.187995
22;12;28868;0.809518;0.213266
22;12;32218;0.816199;0.197296
22;12;30292;0.79638;0.178847
22;12;31964;0.82788;0.214763
22;12;31529;0.785336;0.204367
22;12;32562;0.787289;0.175282
22;12;30605;0.801429;0.203979
22;12;32646;0.792895;0.198301
22;12;30863;0.784255;0.206541
22;12;32364;0.816607;0.213068
22;12;32073;0.799141;0.205225
22;12;32600;0.787626;0.1982
22;12;30824;0.809777;0.206467
22;12;30522;0.796717;0.211265
22;12;29937;0.803322;0.190461
22;12;30762;0.798649;0.204676
22;12;31334;0.798064;0.182811
22;12;31768;0.795343;0.209616
22;12;31831;0.795531;0.206775
22;12;31908;0.79035;0.187996
22;12;31534;0.82075;0.188246
22;12;32503;0.79328;0.204681
22;12;32286;0.783653;0.190452
22;12;30957;0.784672;0.182636
22;12;31685;0.796589;0.205148
22;12;29888;0.792777;0.213177
22;12;32342;0.79882;0.210876
22;12;32485;0.795468;0.187097
22;12;29748;0.794083;0.202012
22;12;32032;0.819423;0.190107
22;12;31003;0.790069;0.20368
22;12;31397;0.798843;0.205366
22;12;30988;0.805619;0.199796
22;12;31907;0.790038;0.180734
22;12;31470;0.796595;0.209176
22;12;32162;0.803162;0.20958
22;12;32936;0.776349;0.183514
22;12;30884;0.795263;0.182779
22;12;31404;0.788032;0.206467
22;12;31303;0.797645;0.216653
22;12;31742;0.789298;0.213845
22;12;31794;0.800271;0.190177
22;12;30316;0.813611;0.207964
22;12;32522;0.789462;0.204047
22;12;31285;0.807576;0.210898
22;12;32802;0.813977;0.203724
22;12;30532;0.793319;0.213791
22;12;30226;0.802382;0.202991
22;12;30477;0.8124;0.20058
22;12;31952;0.801666;0.18037
22;12;33143;0.796353;0.194156
22;12;31238;0.794828;0.200073
22;12;31670;0.811303;0.20631
22;12;30787;0.784563;0.204133
22;12;31881;0.7884;0.200556
22;12;30858;0.831867;0.217545
22;12;32536;0.808479;0.191098
22;12;29994;0.792624;0.190462
22;12;31465;0.799426;0.215578
22;12;32842;0.796745;0.191379
22;12;30989;0.775358;0.19914
22;12;30725;0.794068;0.217433
22;12;31878;0.797973;0.205041
22;12;29803;0.79426;0.209734
22;12;31428;0.808658;0.210186
22;12;32978;0.787867;0.20767
22;12;32228;0.785671;0.187525
22;12;30881;0.785308;0.201983
22;12;30189;0.798555;0.216312
22;12;32118;0.785083;0.18895
22;12;29841;0.810484;0.183489
22;12;32444;0.790519;0.204965
22;12;32138;0.794731;0.20015
22;12;31560;0.787962;0.215084
22;12;31571;0.791785;0.209731
22;12;32085;0.799933;0.216216
22;12;32153;0.805251;0.19894
22;12;31068;0.789768;0.174797
22;12;30618;0.800847;0.197753
22;12;32267;0.821585;0.216843
22;12;31444;0.81063;0.207983
22;12;31382;0.826038;0.206308
22;12;30610;0.816391;0.192093
22;12;31685;0.788463;0.211382
22;12;31183;0.796837;0.212568
22;12;32359;0.805968;0.218436
22;12;29481;0.817988;0.206132
22;12;31139;0.793356;0.187619
22;12;31146;0.785753;0.207456
22;12;31610;0.813073;0.206675
22;12;32243;0.801475;0.186104
22;12;32020;0.824543;0.208514
22;12;32777;0.791114;0.194592
22;12;33208;0.787316;0.210668
22;12;33302;0.807848;0.211762
22;12;32038;0.790562;0.189343
22;12;30361;0.791497;0.194577
22;12;32014;0.79444;0.185852
22;12;32229;0.812807;0.208836
22;12;30534;0.792763;0.19034
22;12;32706;0.783891;0.202291
22;12;31631;0.791275;0.190274
22;12;32196;0.804003;0.195167
22;12;32490;0.7937;0.206599
22;12;32317;0.809257;0.19814
22;12;31138;0.785023;0.21188
22;12;32592;0.794891;0.208847
22;12;30678;0.819354;0.188325
22;12;31444;0.802353;0.217205
22;12;31669;0.816727;0.176975
22;12;31126;0.825918;0.2109
22;12;30033;0.810312;0.199231
22;12;32258;0.799503;0.167589
22;12;32030;0.804373;0.173292
22;12;30824;0.790208;0.207672
22;12;32204;0.797429;0.207692
22;12;31710;0.782372;0.195028
22;12;32316;0.80128;0.197127
22;12;31921;0.793038;0.207715
22;12;32981;0.821988;0.208165
22;12;31307;0.796703;0.211746
22;12;31105;0.808981;0.205532
22;12;31835;0.805432;0.205096
22;12;30932;0.783609;0.214445
22;12;31502;0.803151;0.187865
22;12;31310;0.786582;0.204896
22;12;31486;0.801658;0.189564
22;12;31705;0.807256;0.217799
22;12;32303;0.783751;0.174521
22;12;31507;0.815601;0.199493
22;12;33074;0.801298;0.189427
22;12;30265;0.777005;0.162721
22;12;32434;0.786007;0.177254
22;12;30190;0.813018;0.211047
22;12;32727;0.784095;0.211301
22;12;32566;0.798913;0.200804
22;12;32277;0.793556;0.211734
22;12;30906;0.804465;0.195473
22;12;31385;0.806568;0.198556
22;12;31531;0.782111;0.199121
22;12;33010;0.788662;0.203948
22;12;31111;0.797913;0.195958
22;12;31902;0.795456;0.215547
22;12;32508;0.791723;0.198845
22;12;30531;0.785343;0.212831
22;12;31015;0.793136;0.200246
22;12;33104;0.815433;0.2096
22;12;30652;0.816926;0.2051
22;12;31527;0.78291;0.201739
22;12;32385;0.78458;0.205113
22;12;30936;0.812217;0.194162
22;12;30106;0.785701;0.165338
22;12;32392;0.805513;0.200928
22;12;32087;0.7968;0.215734
22;12;31454;0.79425;0.202655
22;12;30838;0.788186;0.196461
22;12;31652;0.789267;0.194884
22;12;32355;0.801795;0.21589
22;12;30513;0.81663;0.190133
22;12;32778;0.805084;0.189923
22;12;32273;0.801588;0.207889
22;12;32577;0.819306;0.204236
22;12;32153;0.788672;0.184659
22;12;31431;0.790726;0.203265
22;12;31177;0.782452;0.200541
22;12;30570;0.795995;0.210227
22;12;31550;0.8174;0.21265
22;12;30311;0.807403;0.216529
22;12;32545;0.800824;0.204108
22;12;32499;0.780803;0.204248
22;12;30586;0.790862;0.201686
22;12;31583;0.805336;0.178586
22;12;31815;0.796026;0.215354
22;12;31322;0.797953;0.216318
22;12;30156;0.779541;0.204833
22;12;32316;0.803117;0.194241
22;12;30084;0.805785;0.213469
22;12;32348;0.787137;0.211966
22;12;31970;0.788372;0.207609
22;12;31721;0.776469;0.215192
22;12;28867;0.806474;0.202475
22;12;31213;0.785537;0.21801
22;12;33127;0.781471;0.202297
22;12;33155;0.794113;0.195321
22;12;31121;0.795688;0.182324
22;12;31662;0.801618;0.205845
22;12;31656;0.792434;0.204548
22;12;32389;0.793547;0.189015
22;12;31097;0.810618;0.206563
22;12;32497;0.794374;0.200066
22;12;32506;0.802651;0.209993
22;12;29994;0.819976;0.208217
22;12;32282;0.804423;0.197356
22;12;31808;0.790364;0.184455
22;12;31285;0.786416;0.211517
22;12;31935;0.794594;0.188565
22;12;30203;0.78751;0.201259
22;12;31782;0.778678;0.191251
22;12;30826;0.796551;0.210855
22;12;31448;0.782293;0.198653
22;12;31564;0.795237;0.203965
22;12;31363;0.804009;0.210788
22;12;31092;0.816264;0.212084
22;12;31199;0.791817;0.220469
22;12;32685;0.787624;0.216571
22;12;32173;0.801108;0.203975
22;12;31008;0.788246;0.20427
22;12;32651;0.807807;0.192784
22;12;32502;0.782016;0.212913
22;12;31098;0.8227;0.20412
22;12;31320;0.782738;0.201144
22;12;32379;0.818374;0.217809
22;12;31127;0.807645;0.194188
22;12;31414;0.8025;0.210424
22;12;30342;0.820114;0.201783
22;12;30310;0.798137;0.187686
22;12;31470;0.840136;0.198541
22;12;31730;0.776636;0.203411
22;12;31652;0.805287;0.198365
22;12;31577;0.791949;0.22114
22;12;32065;0.786129;0.205899
22;12;31253;0.807863;0.218094
22;12;30638;0.785744;0.193242
22;12;30890;0.800673;0.190498
22;12;31149;0.799975;0.209467
22;12;30376;0.806956;0.211669
22;12;30160;0.793633;0.197216
22;12;30078;0.786855;0.205723
22;12;31456;0.808454;0.211778
22;12;30309;0.799067;0.204691
22;12;32659;0.787667;0.188959
22;12;31815;0.795261;0.220598
22;12;31812;0.806547;0.185813
22;12;32053;0.788206;0.21083
22;12;31437;0.797393;0.213504
22;12;32773;0.788669;0.212934
22;12;32434;0.790899;0.19961
22;12;30853;0.805773;0.207641
22;12;31766;0.79289;0.213743
22;12;31180;0.79634;0.198309
22;12;31698;0.803181;0.198398
22;12;31334;0.786076;0.189567
22;12;31809;0.790135;0.196766
22;12;30286;0.789203;0.215523
22;12;30681;0.799836;0.190492
22;12;32174;0.818065;0.204601
22;12;31150;0.805205;0.198319
22;12;30764;0.806787;0.211554
22;12;31868;0.786534;0.213347
22;12;30969;0.790182;0.206902
22;12;30933;0.789378;0.200828
22;12;31108;0.789902;0.192533
22;12;32411;0.814697;0.199308
22;12;30828;0.815902;0.1844
22;12;32234;0.824729;0.207831
22;12;31598;0.797849;0.207865
22;12;32544;0.810594;0.201115
22;12;31201;0.786451;0.197823
22;12;30677;0.804692;0.207169
22;12;32432;0.812858;0.191116
22;12;30529;0.808948;0.178969
22;12;30898;0.782126;0.202066
22;12;32038;0.784;0.178822
22;12;33032;0.784814;0.206241
22;12;31745;0.792154;0.195762
22;12;30883;0.809613;0.212127
22;12;32875;0.785294;0.201535
22;12;32318;0.833937;0.202426
22;12;30771;0.831783;0.16756
22;12;31027;0.794101;0.196581
22;12;31963;0.797225;0.204014
22;12;30638;0.793106;0.207705
22;12;32604;0.802961;0.191201
22;12;31984;0.779578;0.207624
22;12;32540;0.790188;0.212956
22;12;32211;0.778711;0.220251
22;12;30809;0.790265;0.200295
22;12;32273;0.81038;0.196334
22;12;31212;0.785867;0.202979
22;12;31388;0.780815;0.215285
22;12;32899;0.790264;0.204498
22;12;30794;0.804966;0.21181
22;12;32252;0.801848;0.216794
22;12;32664;0.792235;0.19909
22;12;31218;0.790322;0.206464
22;12;32096;0.803509;0.202906
22;12;31373;0.796278;0.197862
22;12;31647;0.813967;0.204475
22;12;32081;0.79934;0.180257
22;12;32606;0.787237;0.210718
22;12;29938;0.79969;0.20222
22;12;31981;0.812825;0.18861
22;12;33458;0.798834;0.203988
22;12;30681;0.790739;0.216717
22;12;31681;0.802567;0.169092
22;12;32213;0.809382;0.209673
22;12;30997;0.798876;0.20308
22;12;30543;0.814808;0.200321
22;12;31893;0.7907;0.190364
22;12;31948;0.792011;0.189131
22;12;29378;0.791626;0.208601
22;12;31433;0.791242;0.212387
22;12;30839;0.82198;0.214083
22;12;31166;0.797589;0.199928
22;12;31449;0.831085;0.210157
22;12;32793;0.810111;0.204665
22;12;32559;0.793728;0.210337
22;12;32155;0.781047;0.19688
22;12;30811;0.7808;0.202423
22;12;31923;0.790366;0.204696
22;12;32457;0.792039;0.189762
22;12;32491;0.803358;0.202453
22;12;32374;0.784167;0.217433
22;12;30746;0.790112;0.192959
22;12;30597;0.785295;0.187244
22;12;32027;0.783082;0.210959
22;12;32123;0.806165;0.212072
22;12;32141;0.80156;0.208073
22;12;31663;0.796244;0.200295
22;12;30979;0.797013;0.18398
22;12;32701;0.788589;0.191295
22;12;31754;0.805521;0.199433
22;12;30961;0.798831;0.210215
22;12;31415;0.785977;0.203004
22;12;30283;0.786221;0.217681
22;12;32461;0.782503;0.198648
22;12;30654;0.784614;0.214863
22;12;33003;0.803089;0.21054
22;12;31277;0.811211;0.211698
22;12;31474;0.784064;0.212154
22;12;31094;0.784996;0.200946
22;12;30068;0.811825;0.199516
22;12;31562;0.813453;0.206496
22;12;32483;0.798098;0.219099
22;12;30881;0.78164;0.204491
22;12;31308;0.80509;0.200847
22;12;32355;0.793539;0.19382
22;12;29664;0.800665;0.20638
22;12;30783;0.790511;0.189707
22;12;30858;0.798538;0.20581
22;12;31066;0.786123;0.153696
22;12;31845;0.796039;0.202966
22;12;32370;0.789224;0.210084
22;12;31495;0.787087;0.194377
22;12;31114;0.797221;0.176994
22;12;32316;0.796277;0.204485
22;12;31352;0.783202;0.192041
22;12;31440;0.817748;0.21726
22;12;31132;0.793441;0.201069
22;12;32946;0.787097;0.20302
22;12;32049;0.794433;0.214681
22;12;31707;0.786253;0.21447
22;12;32729;0.804727;0.214657
22;12;30935;0.800736;0.210013
22;12;31512;0.790684;0.200454
22;12;30096;0.807667;0.214306
22;12;30686;0.791731;0.206003
22;12;30537;0.790127;0.210175
22;12;29230;0.794482;0.213969
22;12;31299;0.804459;0.211943
22;12;32137;0.78818;0.19491
22;12;31864;0.80886;0.216002
22;12;33013;0.809434;0.219881
22;12;32530;0.797739;0.194105
22;12;30155;0.795064;0.212802
22;12;32231;0.79233;0.202118
22;12;32437;0.794195;0.183709
22;12;31928;0.815628;0.203226
22;12;30725;0.797257;0.164543
22;12;29504;0.793452;0.190071
22;12;31227;0.799057;0.194294
22;12;31093;0.794813;0.2037
22;12;32840;0.784594;0.212643
22;12;30164;0.798276;0.190871
22;12;32260;0.78971;0.192424
22;12;31475;0.805294;0.19324
