N;K;peaks;maxValue;minValue
22;10;17700;0.806862;0.213386
22;10;18572;0.788275;0.213876
22;10;18711;0.803837;0.2067
22;10;18414;0.815675;0.208028
22;10;16157;0.781617;0.151765
22;10;17765;0.79033;0.198907
22;10;17268;0.788264;0.188672
22;10;17400;0.829141;0.181368
22;10;17541;0.796212;0.20388
22;10;16835;0.812658;0.194015
22;10;17337;0.790412;0.198115
22;10;17623;0.781469;0.199824
22;10;18032;0.790794;0.213766
22;10;17756;0.79143;0.216798
22;10;17270;0.7923;0.196645
22;10;17301;0.781842;0.205718
22;10;17668;0.786604;0.189792
22;10;18016;0.791883;0.20114
22;10;17762;0.805951;0.215314
22;10;16651;0.781875;0.18531
22;10;17332;0.817227;0.19272
22;10;17606;0.829072;0.203542
22;10;17321;0.781022;0.211242
22;10;15932;0.783545;0.202659
22;10;17313;0.798953;0.189716
22;10;17176;0.789021;0.189366
22;10;17693;0.781888;0.220975
22;10;17599;0.790302;0.202186
22;10;17027;0.799679;0.202162
22;10;16490;0.78271;0.205416
22;10;17595;0.805682;0.214161
22;10;17273;0.801541;0.203112
22;10;18035;0.804755;0.205001
22;10;15966;0.788007;0.216586
22;10;17505;0.790252;0.208117
22;10;16754;0.791338;0.205162
22;10;16892;0.79667;0.184469
22;10;17261;0.799545;0.215007
22;10;15958;0.793917;0.198076
22;10;16348;0.810634;0.199566
22;10;17133;0.777094;0.196387
22;10;18261;0.804208;0.209796
22;10;17382;0.812365;0.198714
22;10;18007;0.801813;0.204537
22;10;17347;0.793154;0.211826
22;10;16722;0.788459;0.204322
22;10;17935;0.791792;0.212675
22;10;17888;0.805594;0.205793
22;10;17213;0.787203;0.203175
22;10;16019;0.781279;0.182575
22;10;17034;0.797794;0.20071
22;10;17929;0.78662;0.189151
22;10;16676;0.790683;0.18424
22;10;17538;0.81311;0.18657
22;10;18260;0.798073;0.211445
22;10;17390;0.801888;0.210385
22;10;17963;0.793896;0.19777
22;10;18211;0.785457;0.215058
22;10;17722;0.797583;0.202796
22;10;17360;0.797518;0.218294
22;10;16450;0.803766;0.203482
22;10;17041;0.815338;0.207207
22;10;17091;0.780533;0.182602
22;10;15713;0.782208;0.190403
22;10;17206;0.791697;0.204094
22;10;17483;0.812848;0.213887
22;10;17796;0.788617;0.197144
22;10;17295;0.791458;0.195243
22;10;16545;0.786344;0.208094
22;10;17879;0.817914;0.221165
22;10;16916;0.793834;0.203303
22;10;16785;0.787009;0.220003
22;10;17799;0.799196;0.207359
22;10;15922;0.798761;0.208563
22;10;17880;0.780294;0.208419
22;10;16280;0.802692;0.207181
22;10;16879;0.792527;0.21166
22;10;16931;0.798903;0.201201
22;10;18155;0.813064;0.197765
22;10;18188;0.804741;0.208157
22;10;16874;0.790419;0.19827
22;10;17005;0.818578;0.188219
22;10;18225;0.812801;0.180995
22;10;18626;0.803538;0.196496
22;10;17397;0.792637;0.222222
22;10;18116;0.785927;0.192126
22;10;17414;0.795282;0.205087
22;10;16782;0.78987;0.200793
22;10;16856;0.800022;0.204106
22;10;16416;0.782401;0.210424
22;10;16989;0.79228;0.205334
22;10;16443;0.796023;0.207313
22;10;17731;0.800396;0.190629
22;10;17310;0.782258;0.19873
22;10;17933;0.800463;0.216508
22;10;17819;0.818231;0.203643
22;10;17718;0.81081;0.188851
22;10;17648;0.804208;0.191048
22;10;17707;0.801188;0.19254
22;10;16269;0.796651;0.179876
22;10;17472;0.788467;0.194714
22;10;17500;0.829897;0.200928
22;10;17483;0.796293;0.187
22;10;16788;0.792196;0.195585
22;10;17845;0.79448;0.209802
22;10;16693;0.80597;0.19569
22;10;17351;0.795543;0.198384
22;10;16909;0.794009;0.213099
22;10;17530;0.816996;0.200843
22;10;17553;0.792577;0.213898
22;10;17680;0.793136;0.178332
22;10;17157;0.803154;0.205302
22;10;16098;0.821786;0.188393
22;10;17974;0.800262;0.205479
22;10;15892;0.796751;0.204136
22;10;15953;0.792103;0.190205
22;10;16537;0.784889;0.20304
22;10;17824;0.788527;0.206436
22;10;17408;0.796269;0.207408
22;10;18558;0.79422;0.197506
22;10;17748;0.796005;0.203589
22;10;17160;0.780922;0.199569
22;10;17403;0.80293;0.214079
22;10;15336;0.77436;0.20314
22;10;18397;0.794622;0.216455
22;10;16482;0.78938;0.215214
22;10;17947;0.80595;0.214073
22;10;17429;0.808553;0.204232
22;10;16018;0.796887;0.208036
22;10;17203;0.787881;0.192656
22;10;17742;0.805191;0.205294
22;10;17738;0.808364;0.216455
22;10;16326;0.797586;0.217555
22;10;15320;0.794733;0.215182
22;10;17620;0.805895;0.205702
22;10;17663;0.786948;0.209789
22;10;15980;0.780336;0.211327
22;10;17030;0.782667;0.1961
22;10;16360;0.794233;0.211238
22;10;17028;0.804122;0.213675
22;10;17582;0.788802;0.210827
22;10;16439;0.783746;0.195549
22;10;17683;0.770097;0.20569
22;10;17377;0.801645;0.207499
22;10;18023;0.809812;0.193374
22;10;16604;0.782354;0.21681
22;10;17295;0.790094;0.209392
22;10;17471;0.805479;0.183134
22;10;17438;0.812058;0.198795
22;10;17643;0.798695;0.199464
22;10;17379;0.787362;0.201285
22;10;17499;0.783824;0.183956
22;10;17497;0.808396;0.201733
22;10;18442;0.803367;0.166
22;10;17079;0.799396;0.211838
22;10;17171;0.790714;0.210622
22;10;15557;0.810717;0.191548
22;10;17237;0.810207;0.198246
22;10;17119;0.789852;0.170229
22;10;18123;0.803752;0.19196
22;10;17984;0.795121;0.197678
22;10;17983;0.800116;0.219843
22;10;17382;0.786044;0.219722
22;10;16593;0.784938;0.201069
22;10;15984;0.782051;0.211788
22;10;17411;0.796972;0.207152
22;10;16634;0.818134;0.199174
22;10;18080;0.789542;0.194814
22;10;17844;0.793498;0.211088
22;10;16712;0.806787;0.188119
22;10;17434;0.790021;0.189563
22;10;17814;0.805764;0.208418
22;10;16752;0.789127;0.200066
22;10;16739;0.793406;0.206687
22;10;16947;0.796243;0.205213
22;10;17777;0.835705;0.194016
22;10;17545;0.795698;0.208333
22;10;15552;0.849112;0.179097
22;10;17108;0.789804;0.210581
22;10;17995;0.802599;0.197447
22;10;17495;0.788974;0.196972
22;10;17897;0.777917;0.207966
22;10;16418;0.787223;0.201352
22;10;17374;0.804274;0.188181
22;10;17557;0.792825;0.205145
22;10;16666;0.841663;0.198493
22;10;18092;0.806535;0.207946
22;10;17827;0.807222;0.199824
22;10;17189;0.797867;0.200195
22;10;15835;0.802772;0.178944
22;10;17321;0.786264;0.19915
22;10;17443;0.79288;0.216592
22;10;17131;0.822672;0.2031
22;10;15277;0.798342;0.211448
22;10;17414;0.790062;0.219203
22;10;17792;0.804632;0.204034
22;10;16121;0.795703;0.181466
22;10;17136;0.80319;0.177945
22;10;17354;0.797482;0.204131
22;10;17750;0.805012;0.191563
22;10;17240;0.792389;0.208354
22;10;17699;0.800479;0.180496
22;10;17101;0.798759;0.176872
22;10;17915;0.806312;0.201412
22;10;16949;0.802504;0.209756
22;10;17322;0.784765;0.184994
22;10;17065;0.805167;0.20892
22;10;17558;0.805684;0.21251
22;10;18105;0.795538;0.19591
22;10;17876;0.798486;0.174268
22;10;17022;0.805786;0.20566
22;10;18006;0.795431;0.177294
22;10;17813;0.831288;0.199673
22;10;16407;0.804298;0.213086
22;10;17924;0.799753;0.210928
22;10;17343;0.785126;0.213923
22;10;17714;0.801369;0.215751
22;10;16087;0.790731;0.205552
22;10;17895;0.783126;0.204215
22;10;17813;0.799058;0.206687
22;10;18141;0.795056;0.203294
22;10;17823;0.78224;0.218801
22;10;18088;0.805331;0.186885
22;10;15750;0.808815;0.202462
22;10;18422;0.782579;0.203627
22;10;17724;0.798222;0.206082
22;10;17752;0.793161;0.225069
22;10;17264;0.833821;0.192152
22;10;17778;0.813445;0.207342
22;10;15647;0.789967;0.197348
22;10;17209;0.791176;0.175184
22;10;18298;0.805929;0.195082
22;10;18075;0.793799;0.191254
22;10;17686;0.783967;0.158128
22;10;17424;0.784424;0.212443
22;10;17024;0.785305;0.212928
22;10;16281;0.803753;0.201255
22;10;17851;0.799875;0.20509
22;10;16921;0.804308;0.212602
22;10;17751;0.797115;0.201239
22;10;16172;0.808688;0.177749
22;10;18038;0.771523;0.214493
22;10;17191;0.784481;0.197565
22;10;16297;0.798349;0.221444
22;10;16998;0.797578;0.204398
22;10;17473;0.785802;0.2119
22;10;17015;0.815244;0.212891
22;10;16546;0.781813;0.220892
22;10;17210;0.790478;0.199832
22;10;16250;0.795487;0.185339
22;10;17253;0.795739;0.213996
22;10;16929;0.807183;0.202709
22;10;17671;0.799171;0.198359
22;10;17083;0.785244;0.208572
22;10;17584;0.821949;0.217564
22;10;17145;0.801402;0.208817
22;10;16916;0.803925;0.206302
22;10;16698;0.809041;0.212543
22;10;16761;0.799146;0.191236
22;10;16891;0.782534;0.201105
22;10;18921;0.792199;0.188204
22;10;17646;0.795193;0.215946
22;10;17678;0.792687;0.215924
22;10;18303;0.800914;0.216249
22;10;18006;0.792564;0.20576
22;10;17169;0.786916;0.188049
22;10;16612;0.804817;0.209111
22;10;17862;0.79813;0.197638
22;10;17147;0.790507;0.205189
22;10;18425;0.789587;0.201133
