N;K;peaks;maxValue;minValue
22;17;94860;0.794621;0.218592
22;17;95113;0.802137;0.19947
22;17;95911;0.78723;0.2086
22;17;95100;0.797792;0.203834
22;17;95857;0.785899;0.211921
22;17;94628;0.794647;0.170965
22;17;96625;0.808834;0.1744
22;17;96148;0.789665;0.198145
22;17;96471;0.795024;0.21266
22;17;94126;0.788045;0.181864
22;17;96584;0.815064;0.190237
22;17;96478;0.793572;0.210613
22;17;96511;0.780145;0.175495
22;17;96471;0.796525;0.203927
22;17;94733;0.786416;0.178401
22;17;93250;0.818647;0.185123
22;17;95925;0.814323;0.19691
22;17;95380;0.80191;0.197997
22;17;95779;0.789933;0.213885
22;17;96682;0.814696;0.204806
22;17;96209;0.829553;0.190647
22;17;94912;0.796465;0.197539
22;17;94729;0.801031;0.198433
22;17;96607;0.800244;0.187988
22;17;95910;0.790393;0.216094
22;17;96861;0.789924;0.19904
22;17;94248;0.830091;0.20635
22;17;95313;0.795616;0.196425
22;17;95193;0.808862;0.214959
22;17;93983;0.792319;0.182322
22;17;94579;0.780943;0.217984
22;17;95425;0.818977;0.197889
22;17;93926;0.800467;0.208252
22;17;94344;0.786203;0.195496
22;17;97320;0.79472;0.219719
22;17;96173;0.805346;0.201706
22;17;93906;0.789027;0.199176
22;17;97378;0.799732;0.179715
22;17;97055;0.810794;0.187677
22;17;95569;0.803843;0.200083
22;17;95796;0.779271;0.207593
22;17;95471;0.793744;0.216115
22;17;94927;0.787103;0.192428
22;17;96308;0.818362;0.218451
22;17;95598;0.789404;0.195675
22;17;94413;0.775501;0.190234
22;17;93509;0.804003;0.205814
22;17;95991;0.789187;0.185283
22;17;95064;0.807839;0.20388
22;17;94550;0.802451;0.170251
22;17;94979;0.796405;0.20956
22;17;95452;0.80912;0.199281
22;17;97227;0.797345;0.181496
22;17;96624;0.791529;0.215548
22;17;94964;0.788391;0.190181
22;17;93742;0.78556;0.205158
22;17;96269;0.802592;0.221327
22;17;95303;0.797938;0.178046
22;17;97518;0.789779;0.199699
22;17;95489;0.78711;0.225153
22;17;94539;0.803933;0.207032
22;17;96592;0.788902;0.214423
22;17;91884;0.79579;0.205899
22;17;97203;0.793409;0.207
22;17;96147;0.799634;0.208894
22;17;95265;0.80423;0.204839
22;17;95589;0.789573;0.183729
22;17;95698;0.796733;0.201122
22;17;95566;0.788508;0.202399
22;17;93888;0.802885;0.190223
22;17;94658;0.781169;0.20968
22;17;96212;0.790958;0.206584
22;17;95140;0.776356;0.21205
22;17;97366;0.816445;0.203396
22;17;95270;0.820532;0.202999
22;17;95525;0.792211;0.182335
22;17;94344;0.788022;0.199524
22;17;95993;0.796709;0.188487
22;17;96273;0.823093;0.195145
22;17;96751;0.808948;0.20432
22;17;95840;0.791882;0.216562
22;17;94757;0.792959;0.210877
22;17;96078;0.806678;0.205755
22;17;94101;0.7909;0.208706
22;17;95807;0.797369;0.21634
22;17;95192;0.801116;0.21307
22;17;95115;0.797241;0.200223
22;17;94357;0.796176;0.19602
22;17;96382;0.792538;0.190071
22;17;94175;0.799765;0.216653
22;17;95908;0.80134;0.197054
22;17;95254;0.794649;0.205093
22;17;92939;0.801598;0.203382
22;17;95634;0.807337;0.204552
22;17;95792;0.791125;0.205999
22;17;94677;0.788721;0.207789
22;17;95540;0.812666;0.205825
22;17;96115;0.800815;0.209327
22;17;94397;0.798122;0.204658
22;17;96615;0.81623;0.17312
22;17;96098;0.795815;0.209386
22;17;94236;0.784561;0.194626
22;17;94932;0.790637;0.204187
22;17;96066;0.799655;0.206055
22;17;94681;0.787014;0.192861
22;17;95611;0.816287;0.20645
22;17;96679;0.800129;0.209914
22;17;94747;0.803169;0.202595
22;17;96158;0.78013;0.210133
22;17;96494;0.797143;0.206917
22;17;95674;0.784501;0.215866
22;17;96506;0.805109;0.189182
22;17;93205;0.793677;0.191858
22;17;95410;0.79473;0.209162
22;17;96953;0.793346;0.207226
22;17;95635;0.793918;0.201006
22;17;95302;0.794093;0.202669
22;17;94460;0.794137;0.20196
22;17;95873;0.814894;0.203037
22;17;96912;0.811813;0.215144
