N;K;peaks;maxValue;minValue
22;9;12176;0.787813;0.203661
22;9;11688;0.786447;0.201373
22;9;11908;0.791015;0.207047
22;9;11904;0.810844;0.221525
22;9;12336;0.806146;0.215657
22;9;12217;0.794172;0.174977
22;9;12714;0.813748;0.20503
22;9;12440;0.815717;0.194799
22;9;12002;0.801658;0.22184
22;9;12256;0.786323;0.20636
22;9;11501;0.795893;0.212151
22;9;11741;0.793302;0.197085
22;9;12528;0.815195;0.201973
22;9;11223;0.796251;0.204116
22;9;12605;0.798354;0.188848
22;9;11552;0.782421;0.196939
22;9;11791;0.828201;0.200326
22;9;12501;0.777239;0.208324
22;9;12190;0.813339;0.204552
22;9;11450;0.814218;0.202259
22;9;12582;0.807051;0.20845
22;9;12498;0.791318;0.200765
22;9;12734;0.78619;0.220254
22;9;12620;0.814092;0.198352
22;9;12675;0.782948;0.182151
22;9;12403;0.78264;0.196525
22;9;12133;0.806073;0.198303
22;9;11799;0.802038;0.209934
22;9;12315;0.788077;0.213231
22;9;11572;0.793331;0.201837
22;9;12052;0.7979;0.198843
22;9;12284;0.820651;0.216101
22;9;12204;0.807175;0.213903
22;9;12312;0.78661;0.218191
22;9;12489;0.789035;0.195598
22;9;11979;0.793699;0.223005
22;9;11648;0.781393;0.168793
22;9;12273;0.786878;0.192959
22;9;12393;0.780358;0.211119
22;9;12219;0.786661;0.208459
22;9;11584;0.79732;0.203689
22;9;11992;0.81084;0.215771
22;9;11908;0.820777;0.204149
22;9;12505;0.790706;0.199781
22;9;12211;0.796193;0.206006
22;9;12561;0.787715;0.190704
22;9;11734;0.788624;0.190629
22;9;12134;0.795982;0.194546
22;9;11659;0.776233;0.215887
22;9;12397;0.784437;0.199949
22;9;12068;0.796641;0.200853
22;9;12025;0.792443;0.18463
22;9;11647;0.782806;0.211692
22;9;11894;0.819787;0.181755
22;9;11253;0.81305;0.172727
22;9;12372;0.790044;0.207318
22;9;12118;0.789815;0.199623
22;9;11582;0.784557;0.215281
22;9;12802;0.791578;0.208317
22;9;11234;0.790281;0.20945
22;9;11722;0.783006;0.206345
22;9;11875;0.791075;0.215907
22;9;12509;0.78643;0.21197
22;9;12512;0.803609;0.208109
22;9;11883;0.799602;0.205349
22;9;11838;0.815293;0.205787
22;9;12559;0.80368;0.196003
22;9;11465;0.810714;0.219445
22;9;12253;0.803798;0.202146
22;9;12474;0.803421;0.205901
22;9;11808;0.77852;0.19888
22;9;12121;0.840974;0.21158
22;9;13074;0.78516;0.208915
22;9;12589;0.791789;0.210716
22;9;11971;0.780973;0.211555
22;9;12321;0.809822;0.217472
22;9;12244;0.779033;0.204071
22;9;11444;0.791654;0.210473
22;9;12015;0.789396;0.192633
22;9;12205;0.800959;0.198067
22;9;12824;0.804124;0.207182
22;9;11914;0.813136;0.206137
22;9;12503;0.797927;0.199341
22;9;12313;0.80561;0.212132
22;9;12745;0.793464;0.20883
22;9;12696;0.809364;0.215632
22;9;11131;0.794561;0.166561
22;9;11739;0.810465;0.210844
22;9;12438;0.789094;0.190766
22;9;11998;0.791481;0.204649
22;9;12357;0.789216;0.192589
22;9;12797;0.805104;0.166826
22;9;12108;0.78463;0.207517
22;9;12320;0.815122;0.176231
22;9;11822;0.789617;0.209365
22;9;12494;0.779246;0.212862
22;9;11865;0.788604;0.208585
22;9;11942;0.780759;0.194331
22;9;12531;0.771919;0.186651
22;9;11834;0.798827;0.199699
22;9;11518;0.808721;0.216832
22;9;12347;0.790448;0.210716
22;9;11574;0.813268;0.207768
22;9;11747;0.798669;0.202279
22;9;12286;0.80926;0.19043
22;9;12304;0.801024;0.203153
22;9;11965;0.808653;0.190351
22;9;12293;0.803902;0.202075
22;9;11752;0.801522;0.197515
22;9;12414;0.79016;0.206886
22;9;12212;0.802266;0.215498
22;9;12100;0.800476;0.215169
22;9;11525;0.801349;0.201111
22;9;12554;0.78636;0.203906
22;9;12797;0.785226;0.207017
22;9;11328;0.785019;0.211185
22;9;12773;0.806489;0.205345
22;9;12637;0.788964;0.207128
22;9;11702;0.80433;0.204847
22;9;12137;0.783925;0.18632
22;9;11822;0.78027;0.195748
22;9;12347;0.793898;0.204158
22;9;12149;0.792436;0.222118
22;9;11903;0.796122;0.197533
22;9;10819;0.81469;0.184901
22;9;12694;0.789666;0.217417
22;9;11952;0.831007;0.20814
22;9;12001;0.79715;0.209392
22;9;11767;0.785033;0.193042
22;9;12422;0.801524;0.200243
22;9;11990;0.790939;0.206788
22;9;12238;0.78913;0.205751
22;9;11497;0.804978;0.175124
22;9;11156;0.797137;0.189212
22;9;12867;0.7826;0.201879
22;9;12373;0.792292;0.203704
22;9;12525;0.799219;0.198497
22;9;11896;0.782628;0.207098
22;9;11921;0.800387;0.209671
22;9;11985;0.809017;0.216369
22;9;12857;0.784177;0.212618
22;9;11422;0.790474;0.199752
22;9;12237;0.803978;0.209019
22;9;11769;0.806787;0.182677
22;9;12149;0.807204;0.179905
22;9;11665;0.782083;0.209826
22;9;13081;0.805421;0.218285
22;9;11189;0.78067;0.200215
22;9;12531;0.793091;0.18391
22;9;11923;0.805216;0.219301
22;9;12118;0.795774;0.201425
22;9;10519;0.79324;0.218668
22;9;12104;0.795478;0.213946
22;9;11416;0.798521;0.201142
22;9;12428;0.804728;0.187894
22;9;12167;0.796165;0.215909
22;9;12511;0.787429;0.19104
22;9;12484;0.788686;0.201646
22;9;12554;0.788187;0.220042
22;9;12003;0.789968;0.215362
22;9;12146;0.793977;0.199943
22;9;12205;0.798905;0.215043
22;9;11211;0.789068;0.190933
22;9;11570;0.796152;0.209768
22;9;12234;0.784064;0.192405
22;9;12200;0.801944;0.206489
22;9;12364;0.785287;0.186245
22;9;12499;0.789081;0.195581
22;9;12446;0.79988;0.196017
22;9;11939;0.813994;0.206178
22;9;12489;0.815349;0.191748
22;9;12778;0.804425;0.207529
22;9;11825;0.783883;0.216847
22;9;13014;0.79602;0.216652
22;9;11832;0.796003;0.197072
22;9;12866;0.798839;0.212276
22;9;11436;0.810629;0.195011
22;9;11880;0.793044;0.209968
22;9;12146;0.791685;0.208938
22;9;11587;0.788252;0.197988
22;9;13129;0.77838;0.186134
22;9;12654;0.788556;0.196505
22;9;12460;0.784982;0.174204
22;9;12472;0.802582;0.211158
22;9;12756;0.806086;0.201763
22;9;11879;0.785069;0.198144
22;9;12715;0.782218;0.197611
22;9;12395;0.79498;0.213572
22;9;12127;0.799414;0.207919
22;9;11411;0.791583;0.194637
22;9;12471;0.803314;0.212303
22;9;11885;0.793572;0.21897
22;9;12073;0.789643;0.213728
22;9;13033;0.784412;0.195327
22;9;12116;0.790065;0.195848
22;9;12396;0.784227;0.206063
22;9;11912;0.781025;0.198732
22;9;13031;0.795088;0.21356
22;9;12549;0.795318;0.19341
