N;K;peaks;maxValue;minValue
22;14;51946;0.796806;0.208491
22;14;52858;0.791656;0.209712
22;14;52765;0.790832;0.193014
22;14;51134;0.778869;0.215214
22;14;50992;0.79101;0.203512
22;14;51229;0.790966;0.206293
22;14;49530;0.809299;0.207038
22;14;52649;0.808324;0.217437
22;14;50017;0.792259;0.211094
22;14;51859;0.813078;0.208068
22;14;51474;0.789066;0.203235
22;14;52969;0.803861;0.207144
22;14;51663;0.814321;0.171514
22;14;52783;0.787489;0.22548
22;14;51867;0.803808;0.15718
22;14;52007;0.785684;0.195744
22;14;51781;0.790074;0.214645
22;14;51729;0.79113;0.190726
22;14;51682;0.806813;0.210132
22;14;52609;0.809352;0.188078
22;14;52783;0.807123;0.200929
22;14;51874;0.799776;0.167657
22;14;51932;0.799045;0.201607
22;14;52181;0.799668;0.194073
22;14;52863;0.834444;0.190875
22;14;53198;0.809793;0.198127
22;14;51569;0.799744;0.209678
22;14;52764;0.806025;0.194801
22;14;51030;0.793707;0.171724
22;14;53306;0.801635;0.212285
22;14;50855;0.788438;0.203441
22;14;51156;0.800812;0.20404
22;14;52087;0.784594;0.207978
22;14;50802;0.777013;0.173378
22;14;52777;0.796122;0.192483
22;14;52080;0.79893;0.174436
22;14;51096;0.794771;0.209996
22;14;51915;0.785812;0.211926
22;14;52460;0.795543;0.212097
22;14;52259;0.792893;0.202074
22;14;52058;0.786467;0.20342
22;14;52960;0.793527;0.196599
22;14;52108;0.794986;0.19389
22;14;51819;0.794317;0.207875
22;14;49950;0.782376;0.177187
22;14;52075;0.783457;0.19522
22;14;52803;0.815483;0.21058
22;14;51953;0.780648;0.204893
22;14;51556;0.801643;0.203352
22;14;52290;0.806821;0.221557
22;14;50214;0.817037;0.207628
22;14;51209;0.807485;0.193118
22;14;51977;0.781267;0.188031
22;14;52344;0.786146;0.202375
22;14;50817;0.804553;0.212561
22;14;52452;0.795262;0.209687
22;14;53057;0.792425;0.174948
22;14;52517;0.840596;0.22137
22;14;49871;0.801097;0.200738
22;14;52059;0.803377;0.217424
22;14;52158;0.79872;0.205967
22;14;52164;0.791731;0.204499
22;14;51399;0.779513;0.220852
22;14;53255;0.802942;0.203904
22;14;52914;0.806785;0.20345
22;14;51960;0.806502;0.180536
22;14;53154;0.780593;0.178466
22;14;52945;0.77814;0.196008
22;14;51760;0.783883;0.201565
22;14;51964;0.805028;0.218796
22;14;52200;0.806102;0.188375
22;14;52702;0.787329;0.208019
22;14;50860;0.788672;0.19552
22;14;51749;0.816126;0.203714
22;14;52243;0.790803;0.205735
22;14;50452;0.788079;0.181941
22;14;48929;0.792178;0.196372
22;14;51870;0.80886;0.198603
22;14;51847;0.782908;0.214133
22;14;52225;0.797711;0.207284
22;14;49873;0.81074;0.198011
22;14;52502;0.804239;0.197489
22;14;52975;0.819865;0.200495
22;14;51238;0.788655;0.210811
22;14;52215;0.791119;0.20995
22;14;51447;0.805352;0.21488
22;14;51785;0.803527;0.210574
22;14;52620;0.792884;0.205219
22;14;50216;0.800873;0.211832
22;14;52458;0.798862;0.190957
22;14;51357;0.782863;0.212091
22;14;49921;0.795116;0.193368
22;14;51828;0.821254;0.208836
22;14;50552;0.789664;0.182018
22;14;50098;0.822698;0.203325
22;14;51375;0.785573;0.197274
22;14;50787;0.793252;0.20538
22;14;52140;0.802257;0.207026
22;14;53147;0.789773;0.212403
22;14;51349;0.795029;0.192674
22;14;50792;0.800915;0.21825
22;14;53306;0.796968;0.189657
22;14;50840;0.841746;0.213002
22;14;51687;0.7845;0.206256
22;14;50378;0.791888;0.195515
22;14;52082;0.816866;0.191208
22;14;50248;0.801492;0.19864
22;14;52098;0.790428;0.209063
22;14;52370;0.782702;0.200939
22;14;50877;0.778609;0.201305
22;14;52128;0.81646;0.193143
